Time (s),X Position,Y Position,Z Position,Travel Distance,Lidar Points,CPU Usage (%),Memory Usage (MB)
28.06,-3.183034030054572e-13,7.723454331548777e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
28.1,-3.1900377457956376e-13,7.76306446966341e-27,0.0,0.0,-,-,-
28.14,-3.1970049060984597e-13,7.802617641138309e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
28.18,-3.203931277982875e-13,7.842087856641812e-27,0.0,0.0,-,-,-
28.22,-3.2108207257110714e-13,7.881495354057493e-27,0.0,0.0,-,-,-
28.26,-3.2176697337437737e-13,7.920818506143133e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
28.3,-3.2244840255098097e-13,7.96008842700447e-27,0.0,0.0,-,-,-
28.34,-3.2312577124538776e-13,7.999269706233056e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
28.38,-3.237996981026777e-13,8.038396317487631e-27,0.0,0.0,-,-,-
28.43,-3.244698159979996e-13,8.07744524338045e-27,0.0,0.0,-,-,-
28.46,-3.251363351289211e-13,8.116427195319736e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
28.51,-3.2579878693526676e-13,8.155313155618733e-27,0.0,0.0,-,-,-
28.55,-3.2645739957701487e-13,8.194114869962149e-27,0.0,0.0,-,-,-
28.59,-3.2711220895519667e-13,8.232833043954294e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
28.69,-3.2776325890402744e-13,8.27146853885307e-27,0.0,0.0,-,-,-
28.76,-3.2841048180554456e-13,8.310015868005585e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
28.79,-3.290540156048491e-13,8.348481521276814e-27,0.0,0.0,-,-,-
28.83,-3.2969358724102535e-13,8.386847673921949e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
28.88,-3.3032929599947967e-13,8.425118512755849e-27,0.0,0.0,-,-,-
28.92,-3.3096133937479617e-13,8.46330459744518e-27,0.0,0.0,-,-,-
28.96,-3.3158944601915936e-13,8.501387606954379e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
29.0,-3.322140243057752e-13,8.539390698387236e-27,0.0,0.0,-,-,-
